domain	module	docPath	entryPath	moduleEnv	exportName	exportType	params	returns	exportEnv	sideEffects	notes
analyzer	ActionPlanner	docs/当前文档/模块文档/analyzer/ActionPlanner.md	AD21_JS_Project/analyzer/execution/action-planner.js	Node	ActionPlanner.checkExecutionSafety	Function	plan:ExecutionPlan	safety:Object	Node	无	基于 blockers/highRisk/irreversible 产出安全评估
analyzer	BuildSymbolsOverview	docs/当前文档/模块文档/analyzer/BuildSymbolsOverview.md	AD21_JS_Project/analyzer/build-symbols-overview.js	Node	BuildSymbolsOverview	Object	-	-	Node	读写文件/console输出	构建文件符号总览工具对象
analyzer	BuildSymbolsOverview	docs/当前文档/模块文档/analyzer/BuildSymbolsOverview.md	AD21_JS_Project/analyzer/build-symbols-overview.js	Node	runOverview	Function	options?:Object	report:Object	Node	读 config/merge-order.json、读 dist/*、写 analyzer/reports/*	主入口：执行全流程并落盘
analyzer	BuildSymbolsOverview	docs/当前文档/模块文档/analyzer/BuildSymbolsOverview.md	AD21_JS_Project/analyzer/build-symbols-overview.js	Node	_loadMergeOrder	Function	-	Object	Node	读文件	读取 `config/merge-order.json`
analyzer	BuildSymbolsOverview	docs/当前文档/模块文档/analyzer/BuildSymbolsOverview.md	AD21_JS_Project/analyzer/build-symbols-overview.js	Node	_analyzeSourceFiles	Function	filePaths:Array	Object	Node	读文件/console输出	按 merge-order 顺序分析源文件
analyzer	BuildSymbolsOverview	docs/当前文档/模块文档/analyzer/BuildSymbolsOverview.md	AD21_JS_Project/analyzer/build-symbols-overview.js	Node	_analyzeBuiltFiles	Function	-	Object	Node	读 dist/*/写临时文件	分析构建产物（关键词：`builtFiles`）
analyzer	BuildSymbolsOverview	docs/当前文档/模块文档/analyzer/BuildSymbolsOverview.md	AD21_JS_Project/analyzer/build-symbols-overview.js	Node	_saveOverviewReport	Function	report:Object, outputPath:string	void	Node	写文件	写 JSON/MD/TXT 报告
analyzer	CallGraph	docs/当前文档/模块文档/analyzer/CallGraph.md	AD21_JS_Project/analyzer/semantic/call-graph.js	Node	CallGraph	Object	-	-	Node	无	模块导出对象
analyzer	CallGraph	docs/当前文档/模块文档/analyzer/CallGraph.md	AD21_JS_Project/analyzer/semantic/call-graph.js	Node	createCallGraph	Function	-	graph:Object	Node	无	创建空调用图
analyzer	CallGraph	docs/当前文档/模块文档/analyzer/CallGraph.md	AD21_JS_Project/analyzer/semantic/call-graph.js	Node	buildCallGraph	Function	ast:Object, filePath:string	graph:Object	Node	无	从 AST 构建节点/边
analyzer	CallGraph	docs/当前文档/模块文档/analyzer/CallGraph.md	AD21_JS_Project/analyzer/semantic/call-graph.js	Node	analyzeCallGraph	Function	graph:Object	void	Node	修改 graph	补充 in/outDegree、entryPoints、maxCallDepth 等
analyzer	CallGraph	docs/当前文档/模块文档/analyzer/CallGraph.md	AD21_JS_Project/analyzer/semantic/call-graph.js	Node	findCallPaths	Function	graph:Object, from:string, to:string	Array	Node	无	寻找调用路径
analyzer	CallGraph	docs/当前文档/模块文档/analyzer/CallGraph.md	AD21_JS_Project/analyzer/semantic/call-graph.js	Node	detectDeadCode	Function	graph:Object	Object	Node	无	检测不可达节点
analyzer	CallGraph	docs/当前文档/模块文档/analyzer/CallGraph.md	AD21_JS_Project/analyzer/semantic/call-graph.js	Node	calculateCallDepth	Function	graph:Object, entry:string	number	Node	无	计算调用深度
analyzer	CallGraph	docs/当前文档/模块文档/analyzer/CallGraph.md	AD21_JS_Project/analyzer/semantic/call-graph.js	Node	detectRecursion	Function	graph:Object	Object	Node	无	检测递归/环
analyzer	CallGraph	docs/当前文档/模块文档/analyzer/CallGraph.md	AD21_JS_Project/analyzer/semantic/call-graph.js	Node	generateCallGraphReport	Function	graph:Object	string	Node	无	格式化报告
analyzer	CapabilityIndexBuilder	docs/当前文档/模块文档/analyzer/CapabilityIndexBuilder.md	AD21_JS_Project/analyzer/capability-index-builder.js	Node	CapabilityIndexBuilder	Object	-	-	Node	读写文件/console输出	能力索引构建器对象
analyzer	CapabilityIndexBuilder	docs/当前文档/模块文档/analyzer/CapabilityIndexBuilder.md	AD21_JS_Project/analyzer/capability-index-builder.js	Node	buildCapabilityIndex	Function	-	Object	Node	读 reports/corrected-symbols-overview.json、写 reports/capability-index-v1.*	主入口：构建索引与查询接口并落盘
analyzer	CapabilityQueryValidator	docs/当前文档/模块文档/analyzer/CapabilityQueryValidator.md	AD21_JS_Project/analyzer/capability-query-validator.js	Node	CapabilityQueryValidator	Object	-	-	Node	读写文件/console输出	能力查询验证器对象
analyzer	CapabilityQueryValidator	docs/当前文档/模块文档/analyzer/CapabilityQueryValidator.md	AD21_JS_Project/analyzer/capability-query-validator.js	Node	runValidation	Function	-	report:Object	Node	读 analyzer/reports/capability-index-v1.json、写 analyzer/reports/capability-query-validation.*	主入口：执行验证并落盘
analyzer	CorrectedSymbolsOverview	docs/当前文档/模块文档/analyzer/CorrectedSymbolsOverview.md	AD21_JS_Project/analyzer/corrected-symbols-overview.js	Node	CorrectedSymbolsOverview	Object	-	-	Node	读写文件/console输出	修正版符号总览工具对象
analyzer	CorrectedSymbolsOverview	docs/当前文档/模块文档/analyzer/CorrectedSymbolsOverview.md	AD21_JS_Project/analyzer/corrected-symbols-overview.js	Node	runCorrectedOverview	Function	-	report:Object	Node	读 ../dist/*、写 reports/*	主入口：生成修正版总览并落盘
analyzer	CorrectedSymbolsOverview	docs/当前文档/模块文档/analyzer/CorrectedSymbolsOverview.md	AD21_JS_Project/analyzer/corrected-symbols-overview.js	Node	_extractTrueGlobalVariables	Function	ast:Object	Object	Node	无	提取真正的全局变量（修正逻辑核心）
analyzer	CorrectedSymbolsOverview	docs/当前文档/模块文档/analyzer/CorrectedSymbolsOverview.md	AD21_JS_Project/analyzer/corrected-symbols-overview.js	Node	_extractGlobalCallableObjects	Function	ast:Object	Object	Node	无	提取可调用对象（函数）
analyzer	CorrectedSymbolsOverview	docs/当前文档/模块文档/analyzer/CorrectedSymbolsOverview.md	AD21_JS_Project/analyzer/corrected-symbols-overview.js	Node	_extractGlobalModules	Function	ast:Object	Object	Node	无	提取全局模块（IIFE 模块）
analyzer	CorrectedSymbolsOverview	docs/当前文档/模块文档/analyzer/CorrectedSymbolsOverview.md	AD21_JS_Project/analyzer/corrected-symbols-overview.js	Node	_saveCorrectedReport	Function	report:Object	void	Node	写 reports/*	写 JSON/MD/TXT 报告
analyzer	CrossModuleImpactRule	docs/当前文档/模块文档/analyzer/CrossModuleImpactRule.md	AD21_JS_Project/analyzer/interpretation/rules/cross-module-impact.rule.js	Node	apply	Function	ctx:RuleContext, result:InterpretationResult	void	Node	写 result.warnings	对 ctx.isCrossModule(symbol) 的未使用符号生成 warning + suggestions
analyzer	CrossModuleImpactRule	docs/当前文档/模块文档/analyzer/CrossModuleImpactRule.md	AD21_JS_Project/analyzer/interpretation/rules/cross-module-impact.rule.js	Node	name	String	-	string	Node	无	固定为 `cross-module-impact.rule`
analyzer	CrossModuleImpactRule	docs/当前文档/模块文档/analyzer/CrossModuleImpactRule.md	AD21_JS_Project/analyzer/interpretation/rules/cross-module-impact.rule.js	Node	description	String	-	string	Node	无	规则说明
analyzer	CrossModuleImpactRule	docs/当前文档/模块文档/analyzer/CrossModuleImpactRule.md	AD21_JS_Project/analyzer/interpretation/rules/cross-module-impact.rule.js	Node	version	String	-	string	Node	无	规则版本
analyzer	DefUseAnalyzer	docs/当前文档/模块文档/analyzer/DefUseAnalyzer.md	AD21_JS_Project/analyzer/semantic/def-use-analyzer.js	Node	DefUseAnalyzer	Object	-	-	Node	无	模块导出对象
analyzer	DefUseAnalyzer	docs/当前文档/模块文档/analyzer/DefUseAnalyzer.md	AD21_JS_Project/analyzer/semantic/def-use-analyzer.js	Node	UseType	Object	-	-	Node	无	Use 类型枚举（变量/函数调用等）
analyzer	DefUseAnalyzer	docs/当前文档/模块文档/analyzer/DefUseAnalyzer.md	AD21_JS_Project/analyzer/semantic/def-use-analyzer.js	Node	Confidence	Object	-	-	Node	无	置信度枚举（high/medium/low）
analyzer	DefUseAnalyzer	docs/当前文档/模块文档/analyzer/DefUseAnalyzer.md	AD21_JS_Project/analyzer/semantic/def-use-analyzer.js	Node	PathTag	Object	-	-	Node	无	路径标签枚举/常量（用于分类）
analyzer	DefUseAnalyzer	docs/当前文档/模块文档/analyzer/DefUseAnalyzer.md	AD21_JS_Project/analyzer/semantic/def-use-analyzer.js	Node	analyzeDefUse	Function	ast:Object, filePath:string	Object	Node	无	执行 Def-Use 分析并返回结构化结果
analyzer	DefUseAnalyzer	docs/当前文档/模块文档/analyzer/DefUseAnalyzer.md	AD21_JS_Project/analyzer/semantic/def-use-analyzer.js	Node	generateDefUseReport	Function	defUseResult:Object	string	Node	无	格式化报告
analyzer	DefUseAnalyzer	docs/当前文档/模块文档/analyzer/DefUseAnalyzer.md	AD21_JS_Project/analyzer/semantic/def-use-analyzer.js	Node	getDefs	Function	defUseResult:Object	Array	Node	无	查询定义点
analyzer	DefUseAnalyzer	docs/当前文档/模块文档/analyzer/DefUseAnalyzer.md	AD21_JS_Project/analyzer/semantic/def-use-analyzer.js	Node	getUses	Function	defUseResult:Object	Array	Node	无	查询使用点
analyzer	DefUseAnalyzer	docs/当前文档/模块文档/analyzer/DefUseAnalyzer.md	AD21_JS_Project/analyzer/semantic/def-use-analyzer.js	Node	getUnusedSymbols	Function	defUseResult:Object	Array	Node	无	查询未使用定义
analyzer	DefUseAnalyzer	docs/当前文档/模块文档/analyzer/DefUseAnalyzer.md	AD21_JS_Project/analyzer/semantic/def-use-analyzer.js	Node	getUndefinedUses	Function	defUseResult:Object	Array	Node	无	查询未定义使用
analyzer	DefUseAnalyzer	docs/当前文档/模块文档/analyzer/DefUseAnalyzer.md	AD21_JS_Project/analyzer/semantic/def-use-analyzer.js	Node	queryImpact	Function	defUseResult:Object, symbolName:string	Object	Node	无	影响评估（downstreamCount/riskLevel）
analyzer	DependencyAnalyzer	docs/当前文档/模块文档/analyzer/DependencyAnalyzer.md	AD21_JS_Project/analyzer/semantic/dependency-analyzer.js	Node	DependencyAnalyzer	Object	-	-	Node	无	模块导出对象
analyzer	DependencyAnalyzer	docs/当前文档/模块文档/analyzer/DependencyAnalyzer.md	AD21_JS_Project/analyzer/semantic/dependency-analyzer.js	Node	analyzeModuleDependencies	Function	ast:Object, filePath:string	Object	Node	无	分析 require/依赖（线索：实现关键字 `require`）
analyzer	DependencyAnalyzer	docs/当前文档/模块文档/analyzer/DependencyAnalyzer.md	AD21_JS_Project/analyzer/semantic/dependency-analyzer.js	Node	analyzeFunctionCalls	Function	ast:Object, filePath:string	Object	Node	无	提取函数调用关系
analyzer	DependencyAnalyzer	docs/当前文档/模块文档/analyzer/DependencyAnalyzer.md	AD21_JS_Project/analyzer/semantic/dependency-analyzer.js	Node	detectCircularDependencies	Function	dependencyGraph:Object	Object	Node	无	检测循环依赖并给出环
analyzer	DependencyAnalyzer	docs/当前文档/模块文档/analyzer/DependencyAnalyzer.md	AD21_JS_Project/analyzer/semantic/dependency-analyzer.js	Node	buildDependencyGraph	Function	moduleResults:Array	Object	Node	无	构建依赖图（nodes/edges）
analyzer	DependencyAnalyzer	docs/当前文档/模块文档/analyzer/DependencyAnalyzer.md	AD21_JS_Project/analyzer/semantic/dependency-analyzer.js	Node	generateDependencyReport	Function	graph:Object	string	Node	无	格式化依赖报告
analyzer	DigitalVariableTracer	docs/当前文档/模块文档/analyzer/DigitalVariableTracer.md	AD21_JS_Project/analyzer/digital-variable-tracer.js	Node	DigitalVariableTracer	Object	-	-	Node	读写文件/console输出	主导出对象（module.exports）
analyzer	DigitalVariableTracer	docs/当前文档/模块文档/analyzer/DigitalVariableTracer.md	AD21_JS_Project/analyzer/digital-variable-tracer.js	Node	DigitalVariableTracer.runTrace	Function	-	report:Object	Node	读 dist/build/scripts 写 analyzer/reports 输出 console	分析数字变量声明/连续区间/构建脚本模式
analyzer	ESLintConfig	docs/当前文档/模块文档/analyzer/ESLintConfig.md	AD21_JS_Project/analyzer/eslint/eslint.config.js	Node	default	Array	-	Array	Node	无	module.exports = [ ...flatConfig ]
analyzer	ESLintRunner	docs/当前文档/模块文档/analyzer/ESLintRunner.md	AD21_JS_Project/analyzer/eslint/eslint-runner.js	Node	ESLintRunner	Object	-	-	Node	初始化 ESLint 实例	模块导出对象
analyzer	ESLintRunner	docs/当前文档/模块文档/analyzer/ESLintRunner.md	AD21_JS_Project/analyzer/eslint/eslint-runner.js	Node	validateFile	Function	filePath:string	Promise<Object>	Node	读文件/运行 ESLint	返回 {success,errorCount,warningCount,messages}
analyzer	ESLintRunner	docs/当前文档/模块文档/analyzer/ESLintRunner.md	AD21_JS_Project/analyzer/eslint/eslint-runner.js	Node	validateFiles	Function	filePaths:Array	Promise<Object>	Node	读文件/运行 ESLint	逐文件串行校验并汇总
analyzer	ESLintRunner	docs/当前文档/模块文档/analyzer/ESLintRunner.md	AD21_JS_Project/analyzer/eslint/eslint-runner.js	Node	passesLanguageGate	Function	filePath:string	Promise<boolean>	Node	读文件/运行 ESLint	语义分析入口守卫
analyzer	ESLintRunner	docs/当前文档/模块文档/analyzer/ESLintRunner.md	AD21_JS_Project/analyzer/eslint/eslint-runner.js	Node	formatErrors	Function	result:Object	string	Node	无	将 ESLintRunner 结果格式化为文本
analyzer	GlobalVariableAnalyzer	docs/当前文档/模块文档/analyzer/GlobalVariableAnalyzer.md	AD21_JS_Project/analyzer/global-variable-analyzer.js	Node	GlobalVariableAnalyzer	Object	-	-	Node	读写文件/console输出	主导出对象（module.exports）
analyzer	GlobalVariableAnalyzer	docs/当前文档/模块文档/analyzer/GlobalVariableAnalyzer.md	AD21_JS_Project/analyzer/global-variable-analyzer.js	Node	GlobalVariableAnalyzer.runAnalysis	Function	-	report:Object	Node	读 dist/config 写 analyzer/reports 输出 console	完整流程：built→source→report→save
analyzer	GlobalVariableFixer	docs/当前文档/模块文档/analyzer/GlobalVariableFixer.md	AD21_JS_Project/analyzer/global-variable-fixer.js	Node	GlobalVariableFixer	Object	-	-	Node	读写文件/console输出	主导出对象（module.exports）
analyzer	GlobalVariableFixer	docs/当前文档/模块文档/analyzer/GlobalVariableFixer.md	AD21_JS_Project/analyzer/global-variable-fixer.js	Node	GlobalVariableFixer.fixGlobalVariables	Function	-	report:Object	Node	读 dist 写 analyzer/reports 输出 console	对比“当前方法 vs 正确作用域分析”并生成报告
analyzer	InterpretationTypes	docs/当前文档/模块文档/analyzer/InterpretationTypes.md	AD21_JS_Project/analyzer/interpretation/interpretation-types.js	Node	InterpretationResult	Object	-	-	Node	无	Stage 6 的“唯一正式输出”模板（包含 actions/warnings/errors/meta）
analyzer	InterpretationTypes	docs/当前文档/模块文档/analyzer/InterpretationTypes.md	AD21_JS_Project/analyzer/interpretation/interpretation-types.js	Node	ActionContract	Object	-	-	Node	无	推荐动作最小结构：action/symbol/risk/confidence/reason/evidence
analyzer	Interpreter	docs/当前文档/模块文档/analyzer/Interpreter.md	AD21_JS_Project/analyzer/interpretation/interpreter.js	Node	interpret	Function	stage5Facts:Object, stage4Meta?:Object	InterpretationResult	Node	无（仅内存计算）	依次应用规则：unused/undefined/cross-module
analyzer	Interpreter	docs/当前文档/模块文档/analyzer/Interpreter.md	AD21_JS_Project/analyzer/interpretation/interpreter.js	Node	getStatistics	Function	interpretationResult:Object	stats:Object	Node	无	统计 actions/warnings/errors/criticalIssues/ruleCount
analyzer	Interpreter	docs/当前文档/模块文档/analyzer/Interpreter.md	AD21_JS_Project/analyzer/interpretation/interpreter.js	Node	hasBlockingIssues	Function	interpretationResult:Object	boolean	Node	无	检查 errors[].risk 是否为 critical/high
analyzer	NumberVariableInvestigator	docs/当前文档/模块文档/analyzer/NumberVariableInvestigator.md	AD21_JS_Project/analyzer/number-variable-investigator.js	Node	NumberVariableInvestigator	Object	-	-	Node	读写文件/console输出	主导出对象（module.exports）
analyzer	NumberVariableInvestigator	docs/当前文档/模块文档/analyzer/NumberVariableInvestigator.md	AD21_JS_Project/analyzer/number-variable-investigator.js	Node	NumberVariableInvestigator.investigate	Function	-	report:Object	Node	读 dist 写 analyzer/reports 输出 console	调查数组访问/对象访问/可疑 var 声明等模式
analyzer	PlanTypes	docs/当前文档/模块文档/analyzer/PlanTypes.md	AD21_JS_Project/analyzer/execution/plan-types.js	Node	StepType	Object	-	-	Node	无	步骤类型枚举（字符串）
analyzer	PlanTypes	docs/当前文档/模块文档/analyzer/PlanTypes.md	AD21_JS_Project/analyzer/execution/plan-types.js	Node	RiskLevel	Object	-	-	Node	无	风险级别枚举（字符串）
analyzer	PlanTypes	docs/当前文档/模块文档/analyzer/PlanTypes.md	AD21_JS_Project/analyzer/execution/plan-types.js	Node	ExecutionStep	Object	-	-	Node	无	步骤接口模板（字段形状）
analyzer	PlanTypes	docs/当前文档/模块文档/analyzer/PlanTypes.md	AD21_JS_Project/analyzer/execution/plan-types.js	Node	ExecutionPlan	Object	-	-	Node	无	执行计划接口模板
analyzer	PlanTypes	docs/当前文档/模块文档/analyzer/PlanTypes.md	AD21_JS_Project/analyzer/execution/plan-types.js	Node	ExecutionResult	Object	-	-	Node	无	执行结果接口模板
analyzer	PlanTypes	docs/当前文档/模块文档/analyzer/PlanTypes.md	AD21_JS_Project/analyzer/execution/plan-types.js	Node	RiskSummary	Object	-	-	Node	无	风险摘要接口模板
analyzer	PlanTypes	docs/当前文档/模块文档/analyzer/PlanTypes.md	AD21_JS_Project/analyzer/execution/plan-types.js	Node	createExecutionStep	Function	options:Object	step:Object	Node	无	创建带默认值的 ExecutionStep
analyzer	PlanTypes	docs/当前文档/模块文档/analyzer/PlanTypes.md	AD21_JS_Project/analyzer/execution/plan-types.js	Node	createExecutionPlan	Function	options:Object	plan:Object	Node	无	创建计划并自动计算 statistics
analyzer	PlanTypes	docs/当前文档/模块文档/analyzer/PlanTypes.md	AD21_JS_Project/analyzer/execution/plan-types.js	Node	createRiskSummary	Function	options?:Object	summary:Object	Node	无	创建风险摘要
analyzer	PlanTypes	docs/当前文档/模块文档/analyzer/PlanTypes.md	AD21_JS_Project/analyzer/execution/plan-types.js	Node	calculateStatistics	Function	plan:Object	stats:Object	Node	无	统计 stepsByType/stepsByRisk/estimatedImpact
analyzer	PlanTypes	docs/当前文档/模块文档/analyzer/PlanTypes.md	AD21_JS_Project/analyzer/execution/plan-types.js	Node	validateExecutionPlan	Function	plan:Object	{valid:boolean, errors:string[]}	Node	无	校验基本字段（type/target）
analyzer	PlanTypes	docs/当前文档/模块文档/analyzer/PlanTypes.md	AD21_JS_Project/analyzer/execution/plan-types.js	Node	mergeExecutionPlans	Function	plans:Array	plan:Object	Node	无	合并 steps 并生成新 plan（source: merged-plans）
analyzer	PlanTypes	docs/当前文档/模块文档/analyzer/PlanTypes.md	AD21_JS_Project/analyzer/execution/plan-types.js	Node	generateStepId	Function	-	string	Node	无	生成 `step_<timestamp>_<rand>`
analyzer	PlanTypes	docs/当前文档/模块文档/analyzer/PlanTypes.md	AD21_JS_Project/analyzer/execution/plan-types.js	Node	generatePlanId	Function	-	string	Node	无	生成 `plan_<timestamp>_<rand>`
analyzer	ProjectIndex	docs/当前文档/模块文档/analyzer/ProjectIndex.md	AD21_JS_Project/analyzer/semantic/project-index.js	Node	ProjectIndex	Object	-	-	Node	无	模块导出对象
analyzer	ProjectIndex	docs/当前文档/模块文档/analyzer/ProjectIndex.md	AD21_JS_Project/analyzer/semantic/project-index.js	Node	createIndex	Function	-	index:Object	Node	无	创建空索引（含 metadata/collections）
analyzer	ProjectIndex	docs/当前文档/模块文档/analyzer/ProjectIndex.md	AD21_JS_Project/analyzer/semantic/project-index.js	Node	addSymbol	Function	index:Object, symbol:Object	Object	Node	修改 index	添加单符号并更新元数据/冲突
analyzer	ProjectIndex	docs/当前文档/模块文档/analyzer/ProjectIndex.md	AD21_JS_Project/analyzer/semantic/project-index.js	Node	addSymbols	Function	index:Object, symbols:Array	Object	Node	修改 index	批量添加
analyzer	ProjectIndex	docs/当前文档/模块文档/analyzer/ProjectIndex.md	AD21_JS_Project/analyzer/semantic/project-index.js	Node	findSymbols	Function	index:Object, query:Object	Array	Node	无	按查询过滤符号
analyzer	ProjectIndex	docs/当前文档/模块文档/analyzer/ProjectIndex.md	AD21_JS_Project/analyzer/semantic/project-index.js	Node	findSymbolsByScope	Function	index:Object, scope:string	Array	Node	无	按 scope 查询
analyzer	ProjectIndex	docs/当前文档/模块文档/analyzer/ProjectIndex.md	AD21_JS_Project/analyzer/semantic/project-index.js	Node	findUnusedSymbols	Function	index:Object	Array	Node	无	筛未使用符号（启发式）
analyzer	ProjectIndex	docs/当前文档/模块文档/analyzer/ProjectIndex.md	AD21_JS_Project/analyzer/semantic/project-index.js	Node	findSymbolUsages	Function	index:Object, symbolName:string	Array	Node	无	查 usages（依赖符号字段）
analyzer	ProjectIndex	docs/当前文档/模块文档/analyzer/ProjectIndex.md	AD21_JS_Project/analyzer/semantic/project-index.js	Node	analyzeVisibility	Function	index:Object	Object	Node	无	可见性分析
analyzer	ProjectIndex	docs/当前文档/模块文档/analyzer/ProjectIndex.md	AD21_JS_Project/analyzer/semantic/project-index.js	Node	generateIndexReport	Function	index:Object	string	Node	无	生成可读报告
analyzer	ProjectIndex	docs/当前文档/模块文档/analyzer/ProjectIndex.md	AD21_JS_Project/analyzer/semantic/project-index.js	Node	exportToJSON	Function	index:Object	json:Object	Node	无	导出为 JSON 结构
analyzer	RuleContext	docs/当前文档/模块文档/analyzer/RuleContext.md	AD21_JS_Project/analyzer/interpretation/rule-context.js	Node	RuleContext	Constructor	stage5Facts?:Object, stage4Meta?:Object	ctx:Object	Node	无	规则层只应通过 ctx 读取数据
analyzer	RuleContext	docs/当前文档/模块文档/analyzer/RuleContext.md	AD21_JS_Project/analyzer/interpretation/rule-context.js	Node	RuleContext.prototype.getUnusedSymbols	Function	-	Array	Node	无	读取 `facts.unusedSymbols`
analyzer	RuleContext	docs/当前文档/模块文档/analyzer/RuleContext.md	AD21_JS_Project/analyzer/interpretation/rule-context.js	Node	RuleContext.prototype.getUndefinedUses	Function	-	Array	Node	无	读取 `facts.undefinedUses`
analyzer	RuleContext	docs/当前文档/模块文档/analyzer/RuleContext.md	AD21_JS_Project/analyzer/interpretation/rule-context.js	Node	RuleContext.prototype.isCrossModule	Function	symbolName:string	boolean	Node	无	读取 `meta.moduleMap[symbolName] === \"external\"`
analyzer	RuleContext	docs/当前文档/模块文档/analyzer/RuleContext.md	AD21_JS_Project/analyzer/interpretation/rule-context.js	Node	RuleContext.prototype.getSymbolConfidence	Function	symbolName:string	\"high\"|\"medium\"|\"low\"	Node	无	从 `unusedSymbols[]` 查 confidence（默认 low）
analyzer	RuleContext	docs/当前文档/模块文档/analyzer/RuleContext.md	AD21_JS_Project/analyzer/interpretation/rule-context.js	Node	RuleContext.prototype.isEntryFunction	Function	symbolName:string	boolean	Node	无	读取 `meta.entryPoints[]`
analyzer	RuleContext	docs/当前文档/模块文档/analyzer/RuleContext.md	AD21_JS_Project/analyzer/interpretation/rule-context.js	Node	RuleContext.prototype.getUseCount	Function	symbolName:string	number	Node	无	从 `facts.defUseAnalysis[]` 查 uses.length（默认 0）
analyzer	SemanticAnalyzer	docs/当前文档/模块文档/analyzer/SemanticAnalyzer.md	AD21_JS_Project/analyzer/semantic/semantic-analyzer.js	Node	SemanticAnalyzer	Object	-	-	Node	console输出	模块导出对象
analyzer	SemanticAnalyzer	docs/当前文档/模块文档/analyzer/SemanticAnalyzer.md	AD21_JS_Project/analyzer/semantic/semantic-analyzer.js	Node	analyzeFile	Function	filePath:string	Promise<Object>	Node	读文件/console输出	对单文件执行 ESLint->AST->TopLevel 扫描（Stage 1~3）
analyzer	SemanticAnalyzer	docs/当前文档/模块文档/analyzer/SemanticAnalyzer.md	AD21_JS_Project/analyzer/semantic/semantic-analyzer.js	Node	analyzeFiles	Function	filePaths:Array	Promise<Object>	Node	读文件/console输出	对多个文件执行分析并汇总
analyzer	SemanticAnalyzer	docs/当前文档/模块文档/analyzer/SemanticAnalyzer.md	AD21_JS_Project/analyzer/semantic/semantic-analyzer.js	Node	analyzeProject	Function	filePaths:Array	Promise<Object>	Node	读文件/console输出	项目级汇总：依赖、索引、调用图、Def-Use（Stage 4/5）
analyzer	SemanticAnalyzer	docs/当前文档/模块文档/analyzer/SemanticAnalyzer.md	AD21_JS_Project/analyzer/semantic/semantic-analyzer.js	Node	generateReport	Function	stageResult:Object	reportText:string	Node	无	将分析结果格式化为文本报告
analyzer	SemanticAnalyzer	docs/当前文档/模块文档/analyzer/SemanticAnalyzer.md	AD21_JS_Project/analyzer/semantic/semantic-analyzer.js	Node	generateBatchReport	Function	batchResult:Object	reportText:string	Node	无	将批量结果格式化为文本报告
analyzer	SemanticAnalyzer	docs/当前文档/模块文档/analyzer/SemanticAnalyzer.md	AD21_JS_Project/analyzer/semantic/semantic-analyzer.js	Node	generateProjectReport	Function	projectResult:Object	reportText:string	Node	无	将项目结果格式化为文本报告
analyzer	SemanticWorkflow	docs/当前文档/模块文档/analyzer/SemanticWorkflow.md	AD21_JS_Project/analyzer/semantic-workflow.js	Node	SemanticWorkflow	Object	-	-	Node	读写文件/console输出	CLI 主控制器对象（同时可被 require 调用）
